1Bac Ilusss, 1988, 36704567899, nem , IN QUEUE
2Chat Elekkk, 1947, 36987456321, igen , IN QUEUE
4Akcios Aronnn, 1963, 36701236578, igen , IN QUEUE
6Bac Iluss, 1988, 36704567899, nem , IN QUEUE
7Chat Elekk, 1947, 36987456321, igen , IN QUEUE
9Akcios Aronn, 1963, 36701236578, igen , IN QUEUE
11Bac Ilus, 1988, 36704567899, nem , IN QUEU11E
12Chat Elek, 1947, 36987456321, igen , IN QUEUE
13Beka Kalman, 1918, 36123456789, nem , IN QUEUE
14Akcios Aron, 1963, 36701236578, igen , IN QUEUE
15Alle Gloria, 1975, 36301234567, nem , IN QUEUE
